query_key,pair_id,time,filename_ori,filename_mod,clean_mod_type,category_grouped,positive_rank,winner_tier,positive_distance,rank1_distance,rank1_tier
10|104|pair_10_comp_104s.wav|audioldm2_none,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2.wav,audioldm2_none,3. AI Generation (Base),4,global_nearest,0.4380656109397212,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchD2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchD2.wav,audioldm2_pitchD2,4. AI + DSP,4,global_nearest,0.4357199561364513,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchD4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchD4.wav,audioldm2_pitchD4,4. AI + DSP,4,global_nearest,0.4432184634667451,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchD4_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchD4_tempo090.wav,audioldm2_pitchD4_tempo090,4. AI + DSP,4,global_nearest,0.4195041785229008,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchU2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchU2.wav,audioldm2_pitchU2,4. AI + DSP,4,global_nearest,0.425260302871796,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchU4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchU4.wav,audioldm2_pitchU4,4. AI + DSP,4,global_nearest,0.4331714758856929,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_pitchU4_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_pitchU4_tempo110.wav,audioldm2_pitchU4_tempo110,4. AI + DSP,4,global_nearest,0.4329287491136522,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo090.wav,audioldm2_tempo090,4. AI + DSP,4,global_nearest,0.437645628756153,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo095,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo095.wav,audioldm2_tempo095,4. AI + DSP,4,global_nearest,0.4374877582981414,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo105,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo105.wav,audioldm2_tempo105,4. AI + DSP,4,global_nearest,0.4377616367659101,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|audioldm2_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_audioldm2_tempo110.wav,audioldm2_tempo110,4. AI + DSP,4,global_nearest,0.4475282967993273,0.3662014397250233,global_nearest
10|104|pair_10_comp_104s.wav|musicgen_none,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen.wav,musicgen_none,3. AI Generation (Base),1,correct,0.3256146647248776,0.3256146647248776,N/A
10|104|pair_10_comp_104s.wav|musicgen_pitchD2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_pitchD2.wav,musicgen_pitchD2,4. AI + DSP,1,correct,0.3461919060238573,0.3461919060238573,N/A
10|104|pair_10_comp_104s.wav|musicgen_pitchD4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_pitchD4.wav,musicgen_pitchD4,4. AI + DSP,1,correct,0.3379633326815739,0.3379633326815739,N/A
10|104|pair_10_comp_104s.wav|musicgen_pitchD4_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_pitchD4_tempo090.wav,musicgen_pitchD4_tempo090,4. AI + DSP,2,intra_category_nearest,0.3618588707121845,0.3559256418074312,intra_category_nearest
10|104|pair_10_comp_104s.wav|musicgen_pitchU2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_pitchU2.wav,musicgen_pitchU2,4. AI + DSP,1,correct,0.3660534503133564,0.3660534503133564,N/A
10|104|pair_10_comp_104s.wav|musicgen_pitchU4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_pitchU4.wav,musicgen_pitchU4,4. AI + DSP,1,correct,0.3449127630892231,0.3449127630892231,N/A
10|104|pair_10_comp_104s.wav|musicgen_pitchU4_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_pitchU4_tempo110.wav,musicgen_pitchU4_tempo110,4. AI + DSP,1,correct,0.3439171533851984,0.3439171533851984,N/A
10|104|pair_10_comp_104s.wav|musicgen_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_tempo090.wav,musicgen_tempo090,4. AI + DSP,1,correct,0.3344677051105809,0.3344677051105809,N/A
10|104|pair_10_comp_104s.wav|musicgen_tempo095,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_tempo095.wav,musicgen_tempo095,4. AI + DSP,1,correct,0.3216685066972657,0.3216685066972657,N/A
10|104|pair_10_comp_104s.wav|musicgen_tempo105,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_tempo105.wav,musicgen_tempo105,4. AI + DSP,1,correct,0.3309812043075856,0.3309812043075856,N/A
10|104|pair_10_comp_104s.wav|musicgen_tempo110,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_musicgen_tempo110.wav,musicgen_tempo110,4. AI + DSP,1,correct,0.3342061590937843,0.3342061590937843,N/A
10|104|pair_10_comp_104s.wav|none_pitchD2,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_pitchD2.wav,none_pitchD2,2. Original + DSP,1,correct,0.1282623740635657,0.1282623740635657,N/A
10|104|pair_10_comp_104s.wav|none_pitchD4,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_pitchD4.wav,none_pitchD4,2. Original + DSP,1,correct,0.1028984163756393,0.1028984163756393,N/A
10|104|pair_10_comp_104s.wav|none_pitchD4_tempo090,10,104,pair_10_comp_104s.wav,pair_10_comp_104s_pitchD4_tempo090.wav,none_pitchD4_tempo090,2. Original + DSP,1,correct,0.1826134089080008,0.1826134089080008,N/A
